feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
-1.2396884,2.415436,0.5660491,-1.7352608,1.2217767,-0.92612773,0.099627055,-0.94226056,-1.3788459,1.5963193,7
-0.8342862,1.8217589,-1.4509976,0.9149441,-0.79402554,2.134381,2.2405229,-0.46908754,-0.68703073,1.4710398,6
-1.1484163,0.89666235,1.1151702,1.097202,1.4694648,1.3134112,0.37291843,1.2048601,0.22325642,0.47737637,1
0.5315115,-0.35025823,-1.0417095,0.6230149,-0.7535731,1.4803967,0.73662114,-0.1483624,0.7996005,-0.65096784,2
-0.72135365,1.3852645,-0.7357366,0.9279058,-1.2774333,1.7924018,-0.7296594,0.30115655,-0.73017615,-0.19424623,6
0.32500306,0.14484985,-1.028257,-0.9402486,-1.0472162,-1.1791582,-1.5807151,-0.10434891,-0.0041412897,-0.12854505,6
-0.22088838,3.0252476,-0.38186097,2.1068606,2.0258813,1.595897,2.0950513,0.9042899,0.25192598,-0.16625768,5
-0.7243025,1.9359021,-0.24640836,-0.06872113,0.8791853,1.0959748,1.2098835,-0.8705046,-1.8876497,-0.5789038,6
-0.20175311,-0.252158,-0.90069777,-0.36497974,0.31602013,0.361984,0.75701964,-0.6362039,0.61145806,0.09810111,1
-0.29593122,0.21488678,-0.79500264,-1.0150664,1.9742768,0.06559408,-3.1556191,0.4783958,0.79493123,-0.11523402,1
0.6764392,0.26817265,0.6673509,0.8102322,-0.43591222,1.8520176,-0.795881,-0.2811205,-0.3245768,0.9808398,5
-0.04570708,0.930045,-0.90878254,-0.2944005,-0.28221262,0.42357364,-0.098097086,0.049377773,0.48613137,-0.43344718,2
-0.18081403,-1.3879876,1.1154509,1.0721343,0.43730932,0.21863145,0.36259964,0.27617988,1.500407,0.7585695,3
0.18680686,1.0726222,-0.8199074,0.3006764,0.47891256,0.7451878,0.48854297,0.052033156,-1.5832204,0.055651903,6
-0.7626971,0.33573985,-0.919129,-0.36969134,-0.93823045,1.1849177,0.72254866,1.6797099,0.46488783,-0.35463673,5
-0.5492002,-1.294114,0.77800167,-0.41362005,-0.90219927,1.8792105,-3.6887722,-0.85020214,-1.7183287,1.2540108,6
0.8725058,-0.04488034,0.022899728,1.0721239,0.43902025,-0.6708152,0.48964816,-0.9397298,-1.7685819,1.4557337,5
0.84632564,-0.28257522,-1.4567196,0.009003997,0.38661656,2.3679264,-0.6708641,0.59061354,-0.6224824,0.49857378,5
-1.3778212,3.3122983,-0.4631676,-0.4173528,-0.7289687,-1.4476304,-1.3511388,0.53570855,0.8602462,0.757055,6
1.3412011,-0.045474887,1.1651313,-1.1239731,1.1742816,-0.9155422,-0.44833237,-0.15303355,0.7624254,0.75484514,3
0.82835555,4.7311707,-0.88194215,-0.7613936,1.2155252,1.6170163,1.5160011,-0.37389308,-0.80680174,-1.0316391,6
-1.1151736,-0.0025097132,-0.34261203,-0.40857977,-0.6929034,-2.3425791,0.4675093,1.1438545,-1.4689875,1.9904636,6
1.4901614,0.14400485,1.0606126,0.5686237,-0.55095226,1.658901,-0.26238948,-1.5150212,-0.49289992,0.29420638,5
0.98811644,3.4650395,-0.8239014,2.8436651,-1.7317792,-1.3119221,0.013007669,-0.08860926,0.69407916,0.54140455,0
-1.1893392,0.50745165,-0.6831065,-0.12951243,-0.5069773,-0.056432277,0.051050663,1.4631819,0.7888603,-0.33425513,5
1.7753565,0.58339953,0.32760885,0.32470393,0.3293574,0.2919506,-1.7109723,1.0701563,-1.3017693,-2.0831509,6
-0.26763016,-0.09246324,-1.0464832,-1.5180528,-1.549797,-0.1225623,0.8708546,1.0530692,1.0233159,0.43971854,1
0.6809523,0.4802416,-1.3280144,-2.6551514,-2.698106,0.7495603,0.7774459,0.2873379,2.0344243,-0.36204475,1
1.0670286,3.4876413,1.2965195,0.48020893,-0.07477456,1.3003756,1.0188862,0.830304,0.8640383,-1.2573905,5
-1.1685388,0.8044554,-0.47349495,-0.012978949,-0.8986825,0.19077516,1.9215043,0.22806598,0.7016865,0.51858133,0
0.113222964,0.26459074,0.6775477,0.19108579,0.95299137,-1.0567153,0.4061685,-1.0197276,0.23437801,0.83396566,7
1.0451802,1.8384285,0.7504833,-0.14840576,-0.73421955,-1.0361302,-0.5700317,-0.09027572,1.0573468,-0.8035158,2
